Tahun,Kelas,Producer_Accuracy,User_Accuracy
2020,0,0.9231,0.8571
2020,1,0.8462,0.8462
2020,2,0.9231,1.0
2020,3,1.0,1.0
Global,Overall Accuracy,0.9231,
Global,Cohens Kappa,0.8974,
